respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Qual é a sua idade?,Com qual gênero você se identifica?,Qual é seu nível de escolaridade?,Qual é o nível de escolaridade do seu pai?,Qual é o nível de escolaridade da sua mãe?,Qual a sua profissão?,O que é o Sol?,Quantos planetas o Sistema Solar possui?,Qual o maior planeta do Sistema Solar?,Qual é o nome da nossa Galáxia?,O que é a Lua?,Qual é a distância (aproximada) da Terra ao Sol?,Qual o formato da Terra?,O que é um eclipse lunar?,"O que é uma ""estrela cadente""?",Qual a diferença entre cometa e asteroide?,O que é uma nebulosa?,Qual destes(as) é um(a) astrônomo(a) brasileiro(a)?,O que é um buraco negro?,"Qual a idade do Universo, aproximadamente?",Por que é necessário colocar telescópios no espaço?,O Sol morrerá um dia. O que ele se tornará?,Identifique a nebulosa:,Selecione a alternativa que associa corretamente a constelação a seu nome:
10227445368,216856699,09/19/2018 05:13:11 PM,09/19/2018 05:34:22 PM,,,,,,60 ou mais,Feminino,Médio Completo,Médio Incompleto,Médio Incompleto,Aposentado,Uma estrela,7,Júpiter,Via Láctea,Um satélite natural,150 bilhões Km,Redondo,"Ocorre quando o Sol fica entre a Lua e a Terra, direcionando os raios solares de tal forma que estes não atingem a Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos são feitos do mesmo material, com a diferença que cometas possuem uma cauda por possuirem maior velocidade","É um tipo de galáxia raro, confundido inicialmente com uma estrela",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",A idade do universo é desconhecida,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Nada. Ele simplesmente desaparecerá,Image 5,Três Marias
10227436000,216856699,09/19/2018 05:09:14 PM,09/19/2018 05:14:46 PM,,,,,,60 ou mais,Masculino,Superior Completo,Médio Completo,Fundamental Incompleto,Zootecnista,Uma estrela,9,Saturno,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",A idade do universo é desconhecida,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Nada. Ele simplesmente desaparecerá,Image 4,Escorpião
10227433628,216856699,09/19/2018 05:07:57 PM,09/19/2018 05:46:01 PM,,,,,,35 a 44,Feminino,Pós-graduação Completo,Superior Completo,Médio Completo,Economista,Uma estrela,9,Saturno,Via Láctea,Um satélite natural,150 bilhões Km,Redondo,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma região do espaço extremamente turbulenta, por conta de as estrelas estarem muito próximas",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Um Buraco Negro,Image 4,Caixa
10227406990,216856699,09/19/2018 04:56:31 PM,09/19/2018 05:01:46 PM,,,,,,45 a 60,Feminino,Pós-graduação Incompleto,Fundamental Completo,Fundamental Completo,Advogado,Uma estrela,9,Saturno,Via Láctea,Um satélite natural,150 sextilhões Km,Redondo,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um cometa que passa muito perto da Terra,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",A idade do universo é desconhecida,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Um Buraco Negro,Image 4,Órion
10227331633,216856699,09/19/2018 04:22:44 PM,09/19/2018 04:35:14 PM,,,,,,35 a 44,Feminino,Pós-graduação Completo,Fundamental Incompleto,Fundamental Incompleto,Fisioterapeuta,Uma estrela,9,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Helicoidal,"Ocorre quando o Sol fica entre a Lua e a Terra, direcionando os raios solares de tal forma que estes não atingem a Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É uma pequena galáxia que perdeu toda massa através de colisões com outras galáxias maiores, tornando-se ""negra""",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma nova estrela,Image 1,Lira
10227251570,216856699,09/19/2018 03:48:30 PM,09/19/2018 03:56:29 PM,,,,,,35 a 44,Feminino,Pós-graduação Completo,Superior Incompleto,Superior Completo,Professor,Uma estrela,8,Sol,Via Láctea,Um satélite natural,150 bilhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.","É na verdade um satélite colocado em órbita operando à alta velocidade, causando a falsa sensação de ser uma estrela",Não há diferença. Existem duas nomenclaturas apenas por questões históricas,"É uma região do espaço extremamente turbulenta, por conta de as estrelas estarem muito próximas",Elisabete Costa,"É uma pequena galáxia que perdeu toda massa através de colisões com outras galáxias maiores, tornando-se ""negra""",14 bilhões de anos,"Não há diferença de qualidade em observações feitas em telescópios na Terra ou no espaço; a justificativa é puramente pela ""elegância"" de se colocar um objeto em órbita",Nada. Ele simplesmente desaparecerá,Image 1,Três Marias
10227129405,216856699,09/19/2018 02:55:21 PM,09/19/2018 03:00:27 PM,,,,,,25 a 34,Feminino,Pós-graduação Completo,Médio Incompleto,Pós-graduação Completo,Psicólogo,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,Não há diferença. Existem duas nomenclaturas apenas por questões históricas,"É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Um Buraco Negro,Image 4,Escorpião
10227055927,216856699,09/19/2018 02:24:30 PM,09/19/2018 02:34:18 PM,,,,,,25 a 34,Feminino,Pós-graduação Incompleto,Superior Completo,Superior Completo,Psicólogo,Uma estrela,8,Marte,Via Láctea,Um satélite natural,150 trilhões Km,Helicoidal,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos possuem características físicas semelhantes, com a diferença que asteroides são mais velhos e podem entrar nas atmosferas de planetas","É uma região do espaço extremamente turbulenta, por conta de as estrelas estarem muito próximas",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Um Buraco Negro,Image 4,Escorpião
10227051646,216856699,09/19/2018 02:22:50 PM,09/19/2018 02:30:34 PM,,,,,,45 a 60,Feminino,Médio Completo,Fundamental Completo,Fundamental Completo,Aposentado,Uma estrela,Somente a Terra é um planeta,Sol,Via Láctea,Um planeta,150 milhões Km,Redondo,"Ocorre devido à fenômenos atmosféricos, que acabam encobrindo a Lua, deixando-a ""escura"".",É uma estrela que brilha muito,Não há diferença. Existem duas nomenclaturas apenas por questões históricas,"É uma região do céu com muitas nuvens, que dificulta as observações",Alberto Garibaldi,"É uma região do espaço ""vazia"", sem massa e sem luz",A idade do universo é desconhecida,"Porque telescópios na Terra exigem manutenção frequente, o que acaba tornando-os mais caros a longo prazo",Uma nova estrela,Image 1,Três Marias
10227037453,216856699,09/19/2018 02:16:24 PM,09/19/2018 02:18:02 PM,,,,,,45 a 60,Feminino,Superior Completo,Fundamental Incompleto,Fundamental Incompleto,Médico,,,,,,,,,,,,,,,,,,
10226995046,216856699,09/19/2018 01:58:24 PM,09/19/2018 02:11:08 PM,,,,,,60 ou mais,Masculino,Superior Incompleto,Fundamental Completo,Fundamental Completo,Outros,Uma estrela,5,Saturno,Ela não tem nome,Um satélite natural,150 bilhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É uma estrela que brilha muito,Não há diferença. Existem duas nomenclaturas apenas por questões históricas,"É uma região do espaço extremamente turbulenta, por conta de as estrelas estarem muito próximas",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",A idade do universo é desconhecida,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Um Buraco Negro,Image 4,Escorpião
10226979570,216856699,09/19/2018 01:53:09 PM,09/19/2018 02:03:35 PM,,,,,,45 a 60,Feminino,Pós-graduação Completo,Fundamental Incompleto,Fundamental Incompleto,Enfermeiro,Uma estrela,8,Urano,Via Láctea,Um satélite natural,150 milhões Km,Helicoidal,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos são feitos do mesmo material, com a diferença que cometas possuem uma cauda por possuirem maior velocidade","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma nova estrela,Image 3,Lira
10226958678,216856699,09/19/2018 01:45:08 PM,09/19/2018 01:51:23 PM,,,,,,45 a 60,Feminino,Pós-graduação Completo,Superior Completo,Médio Completo,Médico,Uma estrela,7,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Redondo,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É o ""resto"" de uma estrela após esta ter morrido",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",A idade do universo é desconhecida,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Supernova,Image 1,Escorpião
10226932393,216856699,09/19/2018 01:34:29 PM,09/19/2018 01:40:18 PM,,,,,,25 a 34,Masculino,Pós-graduação Completo,Médio Completo,Médio Completo,Engenheiro,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 mil Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É um tipo de galáxia raro, confundido inicialmente com uma estrela",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 1,Escorpião
10226923200,216856699,09/19/2018 01:29:12 PM,09/19/2018 01:37:46 PM,,,,,,35 a 44,Masculino,Pós-graduação Completo,Fundamental Completo,Pós-graduação Completo,Engenheiro,Uma estrela,9,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Emilio Médici,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Um Buraco Negro,Image 1,Lira
10226891156,216856699,09/19/2018 01:18:33 PM,09/19/2018 01:23:17 PM,,,,,,25 a 34,Masculino,Médio Completo,Superior Completo,Superior Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Redondo,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos são feitos do mesmo material, com a diferença que cometas possuem uma cauda por possuirem maior velocidade","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Alberto Garibaldi,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",A idade do universo é desconhecida,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Um Buraco Negro,Image 4,Escorpião
10226871237,216856699,09/19/2018 01:11:00 PM,09/19/2018 01:15:27 PM,,,,,,35 a 44,Masculino,Pós-graduação Completo,Pós-graduação Completo,Superior Completo,Professor,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10226823906,216856699,09/19/2018 12:52:39 PM,09/19/2018 01:04:49 PM,,,,,,45 a 60,Masculino,Superior Completo,Médio Completo,Médio Completo,Agricultor,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10226803614,216856699,09/19/2018 12:45:02 PM,09/19/2018 12:50:41 PM,,,,,,35 a 44,Masculino,Pós-graduação Completo,Médio Completo,Médio Completo,Sociólogo,Uma estrela,7,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos são feitos do mesmo material, com a diferença que cometas possuem uma cauda por possuirem maior velocidade","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",A idade do universo é desconhecida,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Supernova,Image 4,Escorpião
10226802730,216856699,09/19/2018 12:44:37 PM,09/19/2018 12:46:41 PM,,,,,,60 ou mais,Feminino,Superior Completo,Médio Completo,Médio Incompleto,Empresário,,,,,,,,,,,,,,,,,,
10226799954,216856699,09/19/2018 12:43:32 PM,09/19/2018 01:12:06 PM,,,,,,60 ou mais,Feminino,Superior Completo,Fundamental Incompleto,Fundamental Incompleto,Professor,Uma estrela,9,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos possuem características físicas semelhantes, com a diferença que asteroides são mais velhos e podem entrar nas atmosferas de planetas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",3 bilhões de anos,"Porque telescópios na Terra exigem manutenção frequente, o que acaba tornando-os mais caros a longo prazo",Um Buraco Negro,Image 4,Escorpião
10226798072,216856699,09/19/2018 12:43:00 PM,09/19/2018 12:51:47 PM,,,,,,45 a 60,Masculino,Pós-graduação Completo,Superior Completo,Médio Completo,Advogado,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 trilhões Km,Helicoidal,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um cometa que passa muito perto da Terra,"Ambos são feitos do mesmo material, com a diferença que cometas possuem uma cauda por possuirem maior velocidade","É um tipo de galáxia raro, confundido inicialmente com uma estrela",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Supernova,Image 1,Escorpião
10226775607,216856699,09/19/2018 12:34:23 PM,09/19/2018 12:43:25 PM,,,,,,35 a 44,Feminino,Superior Completo,Superior Completo,Superior Completo,Psicólogo,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 bilhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",3 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10226769141,216856699,09/19/2018 12:31:47 PM,09/19/2018 12:38:09 PM,,,,,,25 a 34,Feminino,Pós-graduação Completo,Superior Completo,Superior Completo,Pedagogo,Uma estrela,7,Júpiter,Via Láctea,Um satélite natural,150 trilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",A idade do universo é desconhecida,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Um Buraco Negro,Image 1,Lira
10226751195,216856699,09/19/2018 12:25:12 PM,09/19/2018 12:32:13 PM,,,,,,60 ou mais,Feminino,Pós-graduação Completo,Médio Completo,Médio Incompleto,Biólogo,Uma estrela,9,Marte,Via Láctea,Um satélite natural,150 trilhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É o ""resto"" de uma estrela após esta ter morrido",Alberto Garibaldi,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Anã Branca,Image 4,Escorpião
10226721455,216856699,09/19/2018 12:13:44 PM,09/19/2018 12:15:28 PM,,,,,,45 a 60,Masculino,Médio Completo,Fundamental Completo,Fundamental Completo,Outros,,,,,,,,,,,,,,,,,,
10226707256,216856699,09/19/2018 12:09:26 PM,09/19/2018 12:12:54 PM,,,,,,60 ou mais,Masculino,Médio Incompleto,Fundamental Incompleto,Fundamental Incompleto,Aposentado,Um planeta,5,Sol,Via Láctea,Um planeta,150 milhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um cometa que passa muito perto da Terra,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É um tipo de galáxia raro, confundido inicialmente com uma estrela",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",A idade do universo é desconhecida,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Nada. Ele simplesmente desaparecerá,Image 1,Escorpião
10226701968,216856699,09/19/2018 12:06:40 PM,09/19/2018 12:16:06 PM,,,,,,35 a 44,Masculino,Médio Completo,Fundamental Incompleto,Fundamental Incompleto,Motorista,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 mil Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos são feitos do mesmo material, com a diferença que cometas possuem uma cauda por possuirem maior velocidade","É uma região do espaço extremamente turbulenta, por conta de as estrelas estarem muito próximas",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Órion
10226693974,216856699,09/19/2018 12:04:19 PM,09/19/2018 12:17:41 PM,,,,,,60 ou mais,Feminino,Pós-graduação Completo,Fundamental Completo,Superior Completo,Engenheiro,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Nada. Ele simplesmente desaparecerá,Image 4,Escorpião
10226689635,216856699,09/19/2018 11:59:43 AM,09/19/2018 12:24:36 PM,,,,,,60 ou mais,Masculino,Superior Completo,Pós-graduação Completo,Médio Completo,Aposentado,Uma estrela,9,Urano,Via Láctea,Um satélite natural,150 milhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma região do céu com muitas nuvens, que dificulta as observações",Rebeca Gusmão,"É uma região do espaço ""vazia"", sem massa e sem luz",A idade do universo é desconhecida,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Lira
10226628260,216856699,09/19/2018 11:40:08 AM,09/19/2018 11:46:26 AM,,,,,,35 a 44,Masculino,Pós-graduação Incompleto,Superior Incompleto,Superior Completo,Químico,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 sextilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos possuem características físicas semelhantes, com a diferença que asteroides são mais velhos e podem entrar nas atmosferas de planetas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
